"name","platform","region","tier","adhd_signal","ai_signal","evidence_level","source_or_note","next_action"
"vivi / ADHD邪修日记","Bilibili/XHS lead","CN","A-confirmed-or-strong","ADHD identity/brand signal","vibe coding / AI coding","public profile/source","B站 space.bilibili.com/3546779964410027","login XHS复核并补主页链接"
"张程 / ADHD执行力实验室","Podcast/XHS/B站/Youtube/公众号","CN","A-confirmed-or-strong","ADHD creator identity","ChatGPT Claude Cursor Suno","public podcast transcript","Apple Podcasts / 小宇宙 / Spotify","抓取全平台主页与爆款笔记"
"明天的我也是ADHD","XHS/Podcast guest","CN","A-confirmed-or-strong","ADHD creator identity","OpenClaw/ClawdBot/AI workflow","public podcast episode","小宇宙 明天的我也是ADHD episode","登录XHS复核账号数据"
"AI金三啊","微博/值得买/公众号线索","CN","A-confirmed-or-strong","ADHD prompt/content","Claude Code Obsidian ADHD prompt","indexed articles","新浪/什么值得买 indexed pages","补全主页与粉丝数"
"Cassie / KKK_Cassie啊","播客/社媒线索","CN","A-confirmed-or-strong","ADHD episode participant","AI工具用于ADHD","podcast episode","散心二意 EP3","补社媒主页"
"C君 / 橘女士","播客/社媒线索","CN","A-confirmed-or-strong","ADHD episode participant","AI工具用于ADHD","podcast episode","散心二意 EP3","补社媒主页"
"Philo / Dopamind","Product/blog","Global/CN","A-confirmed-or-strong","ADHD product positioning","AI-powered task coach","official site/blog","dopamind.app","补创始人社媒"
"Junga / ADHD Pal","Product/Sohu profile","CN/Global","A-confirmed-or-strong","ADHD app/product","AI ADHD assistant","official/media indexed","Sohu / ADHD Pal","补产品团队社媒"
"Mohamed Amgad","Personal blog","Global","A-confirmed-or-strong","self-described ADHD workflow","Claude Code + Obsidian assistant","first-party blog","amgad.io","提取工具栈和可复用模板"
"Lo Zarantonello","Medium/LevelUp","Global","A-confirmed-or-strong","ADHD brain framing","vibe coding / Claude Code / Cursor / Codex","article","Level Up Coding","补作者主页"
"Prasanth Kotaru","Personal blog","Global","A-confirmed-or-strong","self-labeled ADHD vibe coding","Claude/Gemini coding workflow","first-party blog","vkotaru.github.io","补X/LinkedIn"
"David Morgan","Personal blog","Global","A-confirmed-or-strong","ADHD developer framing","vibe coding","first-party blog","dav.idmorgan.com","补社媒"
"Chudi","Personal blog","Global","A-confirmed-or-strong","ADHD developer workflow","Claude Code ADHD workflow/skills","first-party blog","chudi.dev","沉淀为工作流模板"
"Kairi Outputs","Dev.to","Global","A-confirmed-or-strong","self-described ADHD brain setup","Claude Code as executive function","public article","dev.to/kairi_outputs","补 newsletter/主页"
"Philip Lakin","LinkedIn","Global","A-confirmed-or-strong","ADHD task example","Claude Code productivity","LinkedIn post","linkedin.com/posts/philip-lakin","补主页"
"Line Hjartarson","Medium","Global","A-confirmed-or-strong","ADHD-compatible vault framing","AI memory / personal knowledge","article","byaline.medium.com","补作者主页"
