编号,状态,优先级,系列,题目,重复风险/改写判断,写作技法,真实痛点/需求/待办,产品/平台入口,下一步动作,正文链接
001,已成稿,B,ADHD基础叙事,为什么226个ADHD名人证明你不是孤例——你不是个案，你只是还没看见同类星系,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：别人靠稳定积累往前走，你靠高压爆发、临场救火、突然通电和事后崩溃活着。；需求：ADHD不是只需要“相信自己”，更需要把前额叶外置：Agent、团队、模板、状态文件、提醒机制、回流台账。；待办：Decide: 是否把“ADHD名人库”做成一张可筛选的案例地图，用来支撑后续内容和社群入口。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98001_%E4%B8%BA%E4%BB%80%E4%B9%88226%E4%B8%AAADHD%E5%90%8D%E4%BA%BA%E8%AF%81%E6%98%8E%E4%BD%A0%E4%B8%8D%E6%98%AF%E5%AD%A4%E4%BE%8B_%E4%BD%A0%E4%B8%8D%E6%98%AF%E4%B8%AA%E6%A1%88%E4%BD%A0%E5%8F%AA%E6%98%AF%E8%BF%98%E6%B2%A1%E7%9C%8B%E8%A7%81%E5%90%8C%E7%B1%BB%E6%98%9F%E7%B3%BB.html
002,已成稿,A,AI与外部执行系统,AI Agent是不是ADHD等了20年的接口——你的外部前额叶终于有了可调用形态,低：已有正文，可按系列编辑复用。,技术隐喻 + 生活场景对照 + 机制解释,痛点：这些工具看似帮助ADHD，实际上经常把最难的部分又交还给ADHD：你要记得打开它，要记得整理它，要记得按规则使用它。；需求：你需要的是一个能把你高能量输入接进现实系统的接口。；待办：而是一个能在你大脑外面运行的前额叶。,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98002_AI_Agent%E6%98%AF%E4%B8%8D%E6%98%AFADHD%E7%AD%89%E4%BA%8620%E5%B9%B4%E7%9A%84%E6%8E%A5%E5%8F%A3_%E4%BD%A0%E7%9A%84%E5%A4%96%E9%83%A8%E5%89%8D%E9%A2%9D%E5%8F%B6%E7%BB%88%E4%BA%8E%E6%9C%89%E4%BA%86%E5%8F%AF%E8%B0%83%E7%94%A8%E5%BD%A2%E6%80%81.html
003,已成稿,B,AI与外部执行系统,AI把所有人拉到80分，为什么ADHD的140分更值钱了——平均能力被抬高后，高方差才开始溢价,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：过去的问题是，这些峰值经常被日常低谷抵消。；需求：AI正在做一件很残酷的事： 把很多普通人的普通能力，快速拉到80分。；待办：Decide: 是否建立“AI抬底、ADHD冲顶”的工作分工表，明确哪些事交给Agent，哪些事必须保留给你。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98003_AI%E6%8A%8A%E6%89%80%E6%9C%89%E4%BA%BA%E6%8B%89%E5%88%B080%E5%88%86%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E7%9A%84140%E5%88%86%E6%9B%B4%E5%80%BC%E9%92%B1%E4%BA%86_%E5%B9%B3%E5%9D%87%E8%83%BD%E5%8A%9B%E8%A2%AB%E6%8A%AC%E9%AB%98%E5%90%8E%E9%AB%98%E6%96%B9%E5%B7%AE%E6%89%8D%E5%BC%80%E5%A7%8B%E6%BA%A2%E4%BB%B7.html
004,已成稿,B,AI与外部执行系统,AI能模拟ADHD的超聚焦吗——模型可以持续计算，但未必会被世界刺穿,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：第二天一个主题打中你，你突然能连续工作十小时，忘记吃饭、忘记时间、忘记环境，像整个人被一个问题吸进去了。；需求：所以问题不是AI能不能取代超聚焦。；待办：Decide: 是否为“超聚焦后处理”建立一个固定流程：倾倒、结构化、资产化、回流。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98004_AI%E8%83%BD%E6%A8%A1%E6%8B%9FADHD%E7%9A%84%E8%B6%85%E8%81%9A%E7%84%A6%E5%90%97_%E6%A8%A1%E5%9E%8B%E5%8F%AF%E4%BB%A5%E6%8C%81%E7%BB%AD%E8%AE%A1%E7%AE%97%E4%BD%86%E6%9C%AA%E5%BF%85%E4%BC%9A%E8%A2%AB%E4%B8%96%E7%95%8C%E5%88%BA%E7%A9%BF.html
005,已成稿,A,AI与外部执行系统,为什么ADHD需要反应堆工作流而不是流水线——你不是产能不稳定，你是能量形态不同,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：你可能平时拖延严重，但截止日期前爆发惊人执行力。；需求：你需要的是状态文件、外部前额叶、阶段性脉冲、回流台账、烂尾复活机制。；待办：Decide: 是否把“反应堆工作流”画成一张固定作战图，作为整个内容宇宙的入口图。,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98005_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E9%9C%80%E8%A6%81%E5%8F%8D%E5%BA%94%E5%A0%86%E5%B7%A5%E4%BD%9C%E6%B5%81%E8%80%8C%E4%B8%8D%E6%98%AF%E6%B5%81%E6%B0%B4%E7%BA%BF_%E4%BD%A0%E4%B8%8D%E6%98%AF%E4%BA%A7%E8%83%BD%E4%B8%8D%E7%A8%B3%E5%AE%9A%E4%BD%A0%E6%98%AF%E8%83%BD%E9%87%8F%E5%BD%A2%E6%80%81%E4%B8%8D%E5%90%8C.html
006,已成稿,B,市场与变现隐喻,ADHD的六种变现接口是什么——你的放电需要不同插座，而不是一个完美职业,低：已有正文，可按系列编辑复用。,技术隐喻 + 生活场景对照 + 机制解释,痛点：ADHD最容易犯的一个错误，是寻找一个“完美职业”。；需求：ADHD最缺的不是信息，而是同类感和外部结构。；待办：Decide: 是否为当前内容宇宙设计一张“六接口现金流地图”。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98006_ADHD%E7%9A%84%E5%85%AD%E7%A7%8D%E5%8F%98%E7%8E%B0%E6%8E%A5%E5%8F%A3%E6%98%AF%E4%BB%80%E4%B9%88_%E4%BD%A0%E7%9A%84%E6%94%BE%E7%94%B5%E9%9C%80%E8%A6%81%E4%B8%8D%E5%90%8C%E6%8F%92%E5%BA%A7%E8%80%8C%E4%B8%8D%E6%98%AF%E4%B8%80%E4%B8%AA%E5%AE%8C%E7%BE%8E%E8%81%8C%E4%B8%9A.html
007,已成稿,B,AI与外部执行系统,为什么ADHD天生是话术大师，却需要Agent才能真的思考——你说得快，不等于想得完,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：你是思考经常以语流形式出现，而不是以结构形式保存。；需求：所以ADHD需要一个规则： 凡是说爽了的东西，都要被Agent追问一次： 这能沉淀成什么？；待办：Decide: 是否建立“语流回收协议”：每次长聊天后自动抽取标题、论点、下一步动作。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98007_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E5%A4%A9%E7%94%9F%E6%98%AF%E8%AF%9D%E6%9C%AF%E5%A4%A7%E5%B8%88%E5%8D%B4%E9%9C%80%E8%A6%81Agent%E6%89%8D%E8%83%BD%E7%9C%9F%E7%9A%84%E6%80%9D%E8%80%83_%E4%BD%A0%E8%AF%B4%E5%BE%97%E5%BF%AB%E4%B8%8D%E7%AD%89%E4%BA%8E%E6%83%B3%E5%BE%97%E5%AE%8C.html
008,已成稿,B,ADHD基础叙事,为什么团队维护我放电，才是ADHD的正确输出姿势——你不需要一个人维护所有接口,低：已有正文，可按系列编辑复用。,技术隐喻 + 生活场景对照 + 机制解释,痛点：是每次有能量之后，还要自己负责所有后处理。；需求：其实你更需要一个团队逻辑： 我放电，系统维护。；待办：Decide: 是否为内容生产建立“放电者/维护者”职责表，明确哪些环节永远不让你手动背。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98008_%E4%B8%BA%E4%BB%80%E4%B9%88%E5%9B%A2%E9%98%9F%E7%BB%B4%E6%8A%A4%E6%88%91%E6%94%BE%E7%94%B5%E6%89%8D%E6%98%AFADHD%E7%9A%84%E6%AD%A3%E7%A1%AE%E8%BE%93%E5%87%BA%E5%A7%BF%E5%8A%BF_%E4%BD%A0%E4%B8%8D%E9%9C%80%E8%A6%81%E4%B8%80%E4%B8%AA%E4%BA%BA%E7%BB%B4%E6%8A%A4%E6%89%80%E6%9C%89%E6%8E%A5%E5%8F%A3.html
009,已成稿,B,AI与外部执行系统,当AI帮你写作，你的反应堆语流会不会被模板化杀死——最危险的不是写得差，是写得太顺,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：没有你真实的羞耻、冲动、崩溃、兴奋、被击中的瞬间。；需求：AI写作最危险的地方，不是它写得差。；待办：Decide: 是否建立每篇文章的“反模板化检查点”，发布前必须保留至少一个带电句。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98009_%E5%BD%93AI%E5%B8%AE%E4%BD%A0%E5%86%99%E4%BD%9C%E4%BD%A0%E7%9A%84%E5%8F%8D%E5%BA%94%E5%A0%86%E8%AF%AD%E6%B5%81%E4%BC%9A%E4%B8%8D%E4%BC%9A%E8%A2%AB%E6%A8%A1%E6%9D%BF%E5%8C%96%E6%9D%80%E6%AD%BB_%E6%9C%80%E5%8D%B1%E9%99%A9%E7%9A%84%E4%B8%8D%E6%98%AF%E5%86%99%E5%BE%97%E5%B7%AE%E6%98%AF%E5%86%99%E5%BE%97%E5%A4%AA%E9%A1%BA.html
010,已成稿,B,情绪与关系机制,为什么轻度抑郁反而加速了ADHD的自我认知——低电量时，你第一次看见了自己的系统错误,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：它会让人低能量、低兴趣、低期待，像整个世界被调低了亮度。；需求：轻度抑郁加速自我认知的关键，不是痛苦本身。；待办：Decide: 是否建立“低电量诊断清单”，把每次低落暴露的问题转成一个系统修复动作。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98010_%E4%B8%BA%E4%BB%80%E4%B9%88%E8%BD%BB%E5%BA%A6%E6%8A%91%E9%83%81%E5%8F%8D%E8%80%8C%E5%8A%A0%E9%80%9F%E4%BA%86ADHD%E7%9A%84%E8%87%AA%E6%88%91%E8%AE%A4%E7%9F%A5_%E4%BD%8E%E7%94%B5%E9%87%8F%E6%97%B6%E4%BD%A0%E7%AC%AC%E4%B8%80%E6%AC%A1%E7%9C%8B%E8%A7%81%E4%BA%86%E8%87%AA%E5%B7%B1%E7%9A%84%E7%B3%BB%E7%BB%9F%E9%94%99%E8%AF%AF.html
