"选题","题目","字数","3个核心观点","解决的问题","质量评分","质量状态","质检备注","正文链接"
"001","为什么226个ADHD名人证明你不是孤例——你不是个案，你只是还没看见同类星系","1390","你要先知道，自己不是道德失败，而是一种认知结构。 | 它真正的意义是告诉你：你不是一个坏掉的个案。 | 真正有用的是，名人样本让你看见一个模式：很多高创造力、高风险偏好、高表达欲、高行动冲动、高跨界迁移能力的人，都带着相似的神经系统特征。","痛点：别人靠稳定积累往前走，你靠高压爆发、临场救火、突然通电和事后崩溃活着。；需求：ADHD不是只需要“相信自己”，更需要把前额叶外置：Agent、团队、模板、状态文件、提醒机制、回流台账。；待办：Decide: 是否把“ADHD名人库”做成一张可筛选的案例地图，用来支撑后续内容和社群入口。","7","通过","","../rendered_articles/问题001_为什么226个ADHD名人证明你不是孤例_你不是个案你只是还没看见同类星系.html"
"002","AI Agent是不是ADHD等了20年的接口——你的外部前额叶终于有了可调用形态","1406","而是因为它第一次像一个真正可调用的执行接口：你把混乱倒进去，它帮你排序、拆解、提醒、归档、追问、生成下一步。 | 真正坏掉的是中间那层：从知道到行动。 | 01 ADHD最核心的痛点之一，不是“不知道该做什么”。","痛点：这些工具看似帮助ADHD，实际上经常把最难的部分又交还给ADHD：你要记得打开它，要记得整理它，要记得按规则使用它。；需求：你需要的是一个能把你高能量输入接进现实系统的接口。；待办：而是一个能在你大脑外面运行的前额叶。","7","通过","","../rendered_articles/问题002_AI_Agent是不是ADHD等了20年的接口_你的外部前额叶终于有了可调用形态.html"
"003","AI把所有人拉到80分，为什么ADHD的140分更值钱了——平均能力被抬高后，高方差才开始溢价","1422","但对ADHD来说，它还有另一层意义： 当80分变得廉价，真正值钱的会变成那些极端、跳跃、不稳定但偶尔能冲到140分的能力。 | 02 ADHD真正的优势，往往不是平均分。 | 真正的打法是： 用AI抬底，用ADHD冲顶。","痛点：过去的问题是，这些峰值经常被日常低谷抵消。；需求：AI正在做一件很残酷的事： 把很多普通人的普通能力，快速拉到80分。；待办：Decide: 是否建立“AI抬底、ADHD冲顶”的工作分工表，明确哪些事交给Agent，哪些事必须保留给你。","7","通过","","../rendered_articles/问题003_AI把所有人拉到80分为什么ADHD的140分更值钱了_平均能力被抬高后高方差才开始溢价.html"
"004","AI能模拟ADHD的超聚焦吗——模型可以持续计算，但未必会被世界刺穿","1218","ADHD的超聚焦更像被雷劈中：不是你温和地选择了任务，而是某个问题突然抓住你，让其它世界短暂消失。 | 所以AI能模拟超聚焦的产物形态：长时间处理、深度展开、不断迭代。 | 04 所以问题不是AI能不能取代超聚焦。","痛点：第二天一个主题打中你，你突然能连续工作十小时，忘记吃饭、忘记时间、忘记环境，像整个人被一个问题吸进去了。；需求：所以问题不是AI能不能取代超聚焦。；待办：Decide: 是否为“超聚焦后处理”建立一个固定流程：倾倒、结构化、资产化、回流。","7","通过","","../rendered_articles/问题004_AI能模拟ADHD的超聚焦吗_模型可以持续计算但未必会被世界刺穿.html"
"005","为什么ADHD需要反应堆工作流而不是流水线——你不是产能不稳定，你是能量形态不同","1086","但ADHD的能量常常不是均匀分布，而是脉冲分布。 | 04 真正的问题是，很多ADHD把“我不适合流水线”误解成“我不适合长期项目”。 | 真正适合你的问题不是： 我怎么每天都稳定输出一点？","痛点：你可能平时拖延严重，但截止日期前爆发惊人执行力。；需求：你需要的是状态文件、外部前额叶、阶段性脉冲、回流台账、烂尾复活机制。；待办：Decide: 是否把“反应堆工作流”画成一张固定作战图，作为整个内容宇宙的入口图。","6","通过","","../rendered_articles/问题005_为什么ADHD需要反应堆工作流而不是流水线_你不是产能不稳定你是能量形态不同.html"
"006","ADHD的六种变现接口是什么——你的放电需要不同插座，而不是一个完美职业","1215","ADHD最缺的不是信息，而是同类感和外部结构。 | 如果你的内容能持续让人说“这就是我”，社群就不是强行拉群，而是自然聚合。 | 工具接口的关键不是一开始就做完美产品。","痛点：ADHD最容易犯的一个错误，是寻找一个“完美职业”。；需求：ADHD最缺的不是信息，而是同类感和外部结构。；待办：Decide: 是否为当前内容宇宙设计一张“六接口现金流地图”。","7","通过","","../rendered_articles/问题006_ADHD的六种变现接口是什么_你的放电需要不同插座而不是一个完美职业.html"
"007","为什么ADHD天生是话术大师，却需要Agent才能真的思考——你说得快，不等于想得完","1076","真正的思考，发生在两者之间： 高压放电之后，有人把电接进线路。 | 思考要求你把刚才说过的话固定下来，检查前后是否一致，判断哪句是核心，哪句只是兴奋时的装饰。 | 它会问你： 你刚才最核心的判断是什么？","痛点：你是思考经常以语流形式出现，而不是以结构形式保存。；需求：所以ADHD需要一个规则： 凡是说爽了的东西，都要被Agent追问一次： 这能沉淀成什么？；待办：Decide: 是否建立“语流回收协议”：每次长聊天后自动抽取标题、论点、下一步动作。","6","通过","","../rendered_articles/问题007_为什么ADHD天生是话术大师却需要Agent才能真的思考_你说得快不等于想得完.html"
"008","为什么团队维护我放电，才是ADHD的正确输出姿势——你不需要一个人维护所有接口","1050","01 ADHD的输出不是稳定水流，而是高压脉冲。 | 你的核心岗位应该是： 选题雷达、判断引擎、命名者、表达反应堆、方向决策者。 | 如果一个人的核心价值是高压放电，那最浪费的安排，就是让他花大量时间维护插线板。","痛点：是每次有能量之后，还要自己负责所有后处理。；需求：其实你更需要一个团队逻辑： 我放电，系统维护。；待办：Decide: 是否为内容生产建立“放电者/维护者”职责表，明确哪些环节永远不让你手动背。","6","通过","","../rendered_articles/问题008_为什么团队维护我放电才是ADHD的正确输出姿势_你不需要一个人维护所有接口.html"
"009","当AI帮你写作，你的反应堆语流会不会被模板化杀死——最危险的不是写得差，是写得太顺","958","没有反常识，没有冒犯感，没有真正的判断，只剩下一些温和正确的话。 | 你会把待办软件说成低剂量窒息，把负罪感说成债务陷阱，把空间混乱说成物理哈希表，把Agent说成外部前额叶。 | AI写作最危险的地方，不是它写得差。","痛点：没有你真实的羞耻、冲动、崩溃、兴奋、被击中的瞬间。；需求：AI写作最危险的地方，不是它写得差。；待办：Decide: 是否建立每篇文章的“反模板化检查点”，发布前必须保留至少一个带电句。","6","通过","","../rendered_articles/问题009_当AI帮你写作你的反应堆语流会不会被模板化杀死_最危险的不是写得差是写得太顺.html"
"010","为什么轻度抑郁反而加速了ADHD的自我认知——低电量时，你第一次看见了自己的系统错误","1046","03 轻度抑郁加速自我认知的关键，不是痛苦本身。 | 如果低落持续加重、影响基本生活、出现危险念头，就需要现实支持和专业帮助。 | 但有时也正是这个停顿，让你开始从“我怎么又这样”走向“我的系统到底哪里需要外置”。","痛点：它会让人低能量、低兴趣、低期待，像整个世界被调低了亮度。；需求：轻度抑郁加速自我认知的关键，不是痛苦本身。；待办：Decide: 是否建立“低电量诊断清单”，把每次低落暴露的问题转成一个系统修复动作。","6","通过","","../rendered_articles/问题010_为什么轻度抑郁反而加速了ADHD的自我认知_低电量时你第一次看见了自己的系统错误.html"
